title,location,brief,style,follow,price tot,price unit,
翠苑五区经典的三房户型南北通透,西湖-翠苑,翠苑五区  | 3室1厅 | 75.68平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1996年建板楼  -  翠苑,38人关注 / 共10次带看 / 7个月以前发布,348万,单价45984元/平米,
春漫里好房，客厅卧室朝南，面朝花园，位置安静,西湖-良渚,良渚文化村春漫里  | 1室1厅 | 88.57平米 | 南 | 精装 | 有电梯,中楼层(共5层)2012年建板塔结合  -  良渚,15人关注 / 共0次带看 / 3个月以前发布,205万,单价23146元/平米,
房子精装四房 西边套 楼下种满了桂花香气扑鼻采光极好房主自荐,西湖-良渚,天阳棕榈湾一期  | 4室2厅 | 154平米 | 南 北 | 精装 | 有电梯,中楼层(共11层)2004年建板楼  -  良渚,44人关注 / 共1次带看 / 一年前发布,335万,单价21754元/平米,
成熟小区 大三房 单价低 诚心出售房主自荐,西湖-良渚,良渚花苑新村  | 3室2厅 | 121.54平米 | 南 北 | 简装,高楼层(共6层)板楼  -  良渚,5人关注 / 共0次带看 / 7个月以前发布,280万,单价23038元/平米,
万科探梅里 精装修 多层带电梯 带暖气、洗碗机,西湖-良渚,良渚文化村探梅里B  | 2室2厅 | 89平米 | 南 | 精装 | 有电梯,中楼层(共6层)2013年建板楼  -  良渚,42人关注 / 共5次带看 / 3个月以前发布,260万,单价29214元/平米,
北秀蓝湾 婚房装修保养的得体 满五年免营业税,西湖-良渚,北秀蓝湾花苑  | 3室2厅 | 124.69平米 | 南 | 精装,中楼层(共11层)2005年建板楼  -  良渚,10人关注 / 共0次带看 / 3个月以前发布,260万,单价20852元/平米,
北秀蓝湾花苑 3室2厅 240万,西湖-良渚,北秀蓝湾花苑  | 3室2厅 | 103.3平米 | 南 | 其他,中楼层(共11层)2005年建板楼  -  良渚,4人关注 / 共1次带看 / 3个月以前发布,240万,单价23234元/平米,
良渚北秀蓝湾 自住装修 西边套 次顶楼 满五年,西湖-良渚,北秀蓝湾花苑  | 3室2厅 | 138平米 | 南 北 | 精装,高楼层(共11层)2005年建板楼  -  良渚,2人关注 / 共1次带看 / 3个月以前发布,350万,单价25363元/平米,
北秀蓝湾花苑 4室2厅 298万,西湖-良渚,北秀蓝湾花苑  | 4室2厅 | 135平米 | 东 | 精装 | 有电梯,中楼层(共11层)2005年建板楼  -  良渚,8人关注 / 共0次带看 / 2个月以前发布,298万,单价22075元/平米,
精装三房满两年，业主置换诚心出,西湖-良渚,良渚文化村七贤郡  | 3室2厅 | 86.87平米 | 南 北 | 精装 | 有电梯,低楼层(共6层)2014年建板塔结合  -  良渚,3人关注 / 共0次带看 / 2个月以前发布,220万,单价25326元/平米,
满五唯一带车位 边套户型 采光无遮挡 房东诚心卖,西湖-良渚,望城  | 3室2厅 | 100平米 | 南 | 精装,低楼层(共10层)板楼  -  良渚,15人关注 / 共0次带看 / 2个月以前发布,215万,单价21500元/平米,
万科精装七贤郡 楼层和楼幢位置佳 看房方便,西湖-良渚,良渚文化村七贤郡  | 3室2厅 | 85.68平米 | 南 北 | 精装 | 有电梯,高楼层(共6层)2014年建板塔结合  -  良渚,5人关注 / 共0次带看 / 2个月以前发布,220万,单价25677元/平米,
天阳棕榈湾二期 3室2厅 305万,西湖-良渚,天阳棕榈湾二期  | 3室2厅 | 123.92平米 | 南 北 | 其他 | 有电梯,中楼层(共11层)2004年建板楼  -  良渚,6人关注 / 共0次带看 / 2个月以前发布,305万,单价24613元/平米,
此房满五年，中高楼层，业主置换诚心出售,西湖-良渚,玉都佳苑  | 3室2厅 | 146.11平米 | 南 北 | 精装,中楼层(共6层)板塔结合  -  良渚,1人关注 / 共0次带看 / 2个月以前发布,295万,单价20191元/平米,
精装三房带车位  东边套  看房联系  诚心出售,西湖-良渚,天阳棕榈湾二期  | 3室2厅 | 125.27平米 | 南 北 | 其他 | 有电梯,低楼层(共10层)2004年建板楼  -  良渚,10人关注 / 共0次带看 / 1个月以前发布,290万,单价23150元/平米,
七贤郡   电梯精装  3房洋房，满2年，有车位,西湖-良渚,良渚文化村七贤郡  | 3室2厅 | 86.7平米 | 南 北 | 精装 | 有电梯,中楼层(共6层)2014年建板塔结合  -  良渚,7人关注 / 共0次带看 / 1个月以前发布,230万,单价26529元/平米,
装修清爽 三居室 *明西边套 房东诚售,西湖-良渚,良渚文化村白鹭郡东  | 3室2厅 | 99.7平米 | 南 | 精装 | 无电梯,高楼层(共4层)2008年建板楼  -  良渚,5人关注 / 共0次带看 / 1个月以前发布,298万,单价29890元/平米,
都市阳光嘉苑 2室1厅 175万,西湖-良渚,都市阳光嘉苑  | 2室1厅 | 62.16平米 | 南 | 毛坯 | 有电梯,高楼层(共17层)2010年建板楼  -  良渚,1人关注 / 共3次带看 / 23天以前发布,175万,单价28154元/平米,
都市阳光嘉苑 2室1厅 190万,西湖-良渚,都市阳光嘉苑  | 2室1厅 | 63.28平米 | 南 | 其他 | 有电梯,中楼层(共18层)2010年建板楼  -  良渚,0人关注 / 共7次带看 / 23天以前发布,190万,单价30026元/平米,
万科未来城    万科物业   小区交通便利,西湖-良渚,万科未来城二期  | 3室2厅 | 102.55平米 | 南 | 精装,低楼层(共11层)2017年建板楼  -  良渚,0人关注 / 共0次带看 / 16天以前发布,450万,单价43882元/平米,
玉都佳苑 满五，户型5跃6，双露台边套,西湖-良渚,玉都佳苑  | 3室2厅 | 116平米 | 南 西 | 精装,高楼层(共6层)板塔结合  -  良渚,0人关注 / 共0次带看 / 11天以前发布,267万,单价23018元/平米,
地铁口 次新房 格局方正 总价低,西湖-良渚,奥克斯缔逸城  | 3室2厅 | 84.03平米 | 南 | 毛坯 | 有电梯,低楼层(共31层)2017年建塔楼  -  良渚,119人关注 / 共0次带看 / 8个月以前发布,255万,单价30347元/平米,
良渚新城 房东自住装修 西边套，采光好,西湖-良渚,昆仑华府  | 3室2厅 | 88.3平米 | 南 | 其他,低楼层(共18层)2017年建塔楼  -  良渚,31人关注 / 共26次带看 / 5个月以前发布,245万,单价27747元/平米,
边套户型采光好，总价低，四房的置换优选,西湖-良渚,九衡公寓  | 3室2厅 | 120.19平米 | 南 北 | 简装 | 有电梯,中楼层(共11层)2013年建板楼  -  良渚,13人关注 / 共8次带看 / 3个月以前发布,260万,单价21633元/平米,
万科七贤郡西区 做婚房没怎么住的次新房,西湖-良渚,良渚文化村七贤郡  | 3室2厅 | 86.22平米 | 东 南 北 | 精装 | 有电梯,低楼层(共9层)2014年建板塔结合  -  良渚,7人关注 / 共2次带看 / 1个月以前发布,220万,单价25517元/平米,
万科精装次新房 楼层好 东边套 视野佳,西湖-良渚,万科缦云坊  | 3室2厅 | 87.82平米 | 南 | 精装,中楼层(共10层)2015年建板楼  -  良渚,9人关注 / 共1次带看 / 31天以前发布,210万,单价23913元/平米,
万科未来城 ，精装三房 距离地铁二号线杜甫村站500米,西湖-良渚,万科良渚文化村未来城  | 3室2厅 | 84.99平米 | 南 北 | 精装,高楼层(共32层)2016年建板塔结合  -  良渚,23人关注 / 共8次带看 / 16天以前发布,255万,单价30004元/平米,
此房满五唯一，户型方正，小两居，适合过度,西湖-良渚,九衡公寓  | 2室2厅 | 61平米 | 南 | 简装 | 有电梯,低楼层(共11层)2013年建板楼  -  良渚,52人关注 / 共14次带看 / 3个月以前发布,155万,单价25410元/平米,
都市阳光嘉苑自住2房，精装修，满五年，业主诚心出售,西湖-良渚,都市阳光嘉苑  | 2室1厅 | 61.55平米 | 南 | 精装 | 有电梯,低楼层(共18层)2010年建板楼  -  良渚,32人关注 / 共4次带看 / 2个月以前发布,185万,单价30057元/平米,
万科探梅里 西边套 开发商硬装 业主诚心出售,西湖-良渚,良渚文化村探梅里B  | 2室1厅 | 89平米 | 南 | 其他 | 有电梯,中楼层(共6层)2013年建板楼  -  良渚,3人关注 / 共1次带看 / 2个月以前发布,280万,单价31461元/平米,
20万自住精装修，价格带车位，诚心出售！,西湖-良渚,都市阳光和苑  | 2室1厅 | 62平米 | 南 北 | 精装,低楼层(共28层)板楼  -  良渚,23人关注 / 共1次带看 / 1个月以前发布,205万,单价33065元/平米,
精装整屋地暖空调，业主自住，有电梯，产权清晰！,西湖-良渚,良渚文化村春漫里  | 1室1厅 | 88平米 | 南 | 其他 | 有电梯,中楼层(共5层)2012年建板塔结合  -  良渚,7人关注 / 共0次带看 / 21天以前发布,162万,单价18410元/平米,
良渚新城 文化村* 好楼层 三房两卫,西湖-良渚,昆仑华府  | 3室2厅 | 89.7平米 | 南 | 其他 | 有电梯,高楼层(共18层)2017年建塔楼  -  良渚,14人关注 / 共11次带看 / 5个月以前发布,230万,单价25642元/平米,
良渚新城，三房两卫方正户型，双阳台，近地铁,西湖-良渚,昆仑华府  | 3室1厅 | 89平米 | 南 | 精装,低楼层(共18层)2017年建板楼  -  良渚,41人关注 / 共34次带看 / 2个月以前发布,220万,单价24720元/平米,
地铁房，好楼层，精装修，自住房。,西湖-良渚,奥克斯缔逸城  | 3室2厅 | 88.02平米 | 南 | 精装 | 有电梯,中楼层(共31层)2017年建塔楼  -  良渚,16人关注 / 共6次带看 / 2个月以前发布,290万,单价32948元/平米,
都市阳光嘉苑 2室1厅 165万,西湖-良渚,都市阳光嘉苑  | 2室1厅 | 63平米 | 南 | 其他 | 有电梯,低楼层(共17层)2010年建板楼  -  良渚,18人关注 / 共16次带看 / 2个月以前发布,165万,单价26191元/平米,
郡西澜山 精装三房 有钥匙 看房方便,西湖-良渚,万科郡西澜山  | 3室2厅 | 123.53平米 | 南 | 精装,中楼层(共6层)2017年建板楼  -  良渚,4人关注 / 共3次带看 / 2个月以前发布,415万,单价33596元/平米,
九衡公寓 2室2厅 220万,西湖-良渚,九衡公寓  | 2室2厅 | 72.8平米 | 南 | 其他 | 有电梯,高楼层(共11层)板楼  -  良渚,18人关注 / 共3次带看 / 3个月以前发布,220万,单价30220元/平米,
白鹭郡南 精装两房 背靠白鹭公园 视野开阔 采光好,西湖-良渚,良渚文化村白鹭郡南  | 2室2厅 | 87.87平米 | 南 北 | 精装 | 无电梯,中楼层(共4层)2010年建板楼  -  良渚,12人关注 / 共2次带看 / 3个月以前发布,245万,单价27883元/平米,
都市阳光和苑，简装修，满五年，高楼层采光视野好,西湖-良渚,都市阳光和苑  | 2室1厅 | 62.68平米 | 南 | 简装 | 有电梯,高楼层(共28层)板楼  -  良渚,52人关注 / 共7次带看 / 1个月以前发布,168万,单价26803元/平米,
良渚九衡公寓 满两年 简单装修，看房方便,西湖-良渚,九衡公寓  | 2室2厅 | 62.43平米 | 南 | 简装 | 有电梯,中楼层(共10层)2013年建板楼  -  良渚,5人关注 / 共7次带看 / 1个月以前发布,198万,单价31716元/平米,
两房朝南，万科精装修电梯洋房。,西湖-良渚,良渚文化村探梅里B  | 2室2厅 | 84.62平米 | 南 | 精装 | 有电梯,中楼层(共6层)2013年建板楼  -  良渚,7人关注 / 共3次带看 / 1个月以前发布,235万,单价27772元/平米,
带车位，带花园，满两年，东边套，南北通透,西湖-良渚,良渚文化村探梅里B  | 2室2厅 | 87.93平米 | 南 北 | 精装 | 有电梯,低楼层(共6层)2014年建板楼  -  良渚,1人关注 / 共0次带看 / 19天以前发布,300万,单价34119元/平米,
单元边套 主卧朝南带阳台 自住装修 南北通透 楼层好,西湖-良渚,都市阳光嘉苑  | 2室2厅 | 63.28平米 | 南 | 精装 | 有电梯,高楼层(共18层)2010年建板楼  -  良渚,9人关注 / 共6次带看 / 14天以前发布,170万,单价26865元/平米,
良渚石榴派 满两年 三房  户型通透,西湖-良渚,石榴派  | 3室1厅 | 91平米 | 南 北 | 毛坯,低楼层(共11层)2012年建塔楼  -  良渚,7人关注 / 共9次带看 / 6个月以前发布,228万,单价25055元/平米,
西边套，四房两卫，户型方正  ，采光好,西湖-良渚,昆仑华府  | 4室2厅 | 88平米 | 南 | 其他,中楼层(共18层)2017年建板楼  -  良渚,14人关注 / 共29次带看 / 5个月以前发布,225万,单价25569元/平米,
良渚昆仑华府 东边套 三房两厅两卫 看房方便,西湖-良渚,昆仑华府  | 3室2厅 | 106平米 | 南 北 | 毛坯,中楼层(共18层)2017年建板楼  -  良渚,6人关注 / 共3次带看 / 4个月以前发布,290万,单价27359元/平米,
良渚昆仑华府 次新小区 三房两厅两卫 采光好,西湖-良渚,昆仑华府  | 4室2厅 | 89平米 | 南 | 毛坯,中楼层(共18层)2017年建板楼  -  良渚,6人关注 / 共13次带看 / 4个月以前发布,230万,单价25843元/平米,
楼层好 视野很棒 业主是诚心出售的 毛坯随意装修,西湖-良渚,昆仑华府  | 3室2厅 | 89.48平米 | 南 | 毛坯,高楼层(共18层)2017年建塔楼  -  良渚,32人关注 / 共24次带看 / 4个月以前发布,225万,单价25146元/平米,
房子新交付 楼层5楼 户型方正 带双阳台 诚心出售,西湖-良渚,昆仑华府  | 3室2厅 | 88.5平米 | 南 北 | 毛坯 | 有电梯,低楼层(共18层)2017年建板塔结合  -  良渚,15人关注 / 共25次带看 / 3个月以前发布,220万,单价24859元/平米,
昆仑华府 西边套 4房两厅两卫,西湖-良渚,昆仑华府  | 4室2厅 | 88.52平米 | 南 | 毛坯 | 有电梯,中楼层(共18层)2017年建塔楼  -  良渚,9人关注 / 共36次带看 / 3个月以前发布,235万,单价26548元/平米,
万科自住装修 南北通透2房 满五年的,西湖-良渚,良渚文化村白鹭郡南  | 3室2厅 | 89平米 | 南 | 精装 | 无电梯,中楼层(共5层)2010年建板楼  -  良渚,44人关注 / 共4次带看 / 3个月以前发布,240万,单价26967元/平米,
西湖区 户型好    房东诚心卖,西湖-良渚,龙湖水晶郦城  | 3室1厅 | 89.11平米 | 南 | 毛坯 | 有电梯,高楼层(共33层)2018年建板楼  -  良渚,10人关注 / 共5次带看 / 2个月以前发布,270万,单价30300元/平米,
昆仑华府 3室2厅 210万,西湖-良渚,昆仑华府  | 3室2厅 | 89.45平米 | 南 | 其他,高楼层(共18层)2017年建板楼  -  良渚,11人关注 / 共10次带看 / 2个月以前发布,210万,单价23477元/平米,
此房是东边套，户型方正，采光好，通风好,西湖-良渚,都市阳光嘉苑  | 2室1厅 | 62.4平米 | 东 南 | 其他 | 有电梯,低楼层(共18层)2010年建板楼  -  良渚,19人关注 / 共16次带看 / 1个月以前发布,167万,单价26763元/平米,
二号线地铁杜甫村站 楼层好  三房 诚心置换,西湖-良渚,亿丰蔚蓝郡  | 3室1厅 | 86.03平米 | 南 北 | 精装 | 有电梯,中楼层(共18层)2012年建板楼  -  良渚,15人关注 / 共12次带看 / 1个月以前发布,255万,单价29641元/平米,
天阳棕榈湾二期 3室1厅 320万,西湖-良渚,天阳棕榈湾二期  | 3室1厅 | 132.8平米 | 南 | 其他 | 有电梯,低楼层(共11层)2004年建板楼  -  良渚,0人关注 / 共0次带看 / 30天以前发布,320万,单价24097元/平米,
万科良渚文化村未来城 3室2厅 280万,西湖-良渚,万科良渚文化村未来城  | 3室2厅 | 84.5平米 | 南 | 其他,中楼层(共32层)2016年建板塔结合  -  良渚,11人关注 / 共0次带看 / 26天以前发布,280万,单价33137元/平米,
良渚文化村白鹭郡东 3室2厅 300万,西湖-良渚,良渚文化村白鹭郡东  | 3室2厅 | 100.5平米 | 南 | 精装 | 无电梯,中楼层(共5层)2008年建板楼  -  良渚,2人关注 / 共0次带看 / 21天以前发布,300万,单价29851元/平米,
万科精装  南北通透  楼层好  采光充足  业主诚售,西湖-良渚,万科缦云坊  | 3室2厅 | 86.6平米 | 南 | 精装,高楼层(共10层)2015年建板楼  -  良渚,13人关注 / 共4次带看 / 17天以前发布,220万,单价25405元/平米,
此房满2年，大阳台，业主自住装修，业主诚心出售,西湖-良渚,九衡公寓  | 2室2厅 | 72平米 | 南 北 | 精装 | 有电梯,低楼层(共11层)2013年建板楼  -  良渚,12人关注 / 共0次带看 / 3个月以前发布,220万,单价30556元/平米,
奥克斯缔逸城 1室1厅 100万,西湖-良渚,奥克斯缔逸城  | 1室1厅 | 46平米 | 南 | 其他 | 有电梯,低楼层(共13层)2017年建板楼  -  良渚,2人关注 / 共0次带看 / 13天以前发布,100万,单价21740元/平米,
白鹭郡南精装 拎包入住 诚心出售,西湖-良渚,良渚文化村白鹭郡南  | 1室2厅 | 59.07平米 | 南 北 | 精装 | 无电梯,高楼层(共5层)2010年建板楼  -  良渚,19人关注 / 共1次带看 / 3个月以前发布,225万,单价38091元/平米,
良渚新城   文化村*     四房两卫  东边套房主自荐,西湖-良渚,昆仑华府  | 4室2厅 | 118.72平米 | 南 北 | 毛坯 | 有电梯,低楼层(共18层)2017年建塔楼  -  良渚,8人关注 / 共0次带看 / 5个月以前发布,310万,单价26112元/平米,
奥克斯缔逸城  精装修  地铁口  东边套  格局方正房主自荐,西湖-良渚,奥克斯缔逸城  | 3室2厅 | 87.5平米 | 南 | 精装 | 有电梯,中楼层(共31层)2017年建塔楼  -  良渚,10人关注 / 共0次带看 / 4个月以前发布,330万,单价37715元/平米,
大三客厅带双阳台，精装修，交通便利，配套设施齐*,西湖-良渚,亿丰蔚蓝郡  | 3室2厅 | 132.09平米 | 南 | 精装 | 有电梯,高楼层(共18层)2012年建板楼  -  良渚,2人关注 / 共3次带看 / 2个月以前发布,385万,单价29147元/平米,
龙湖水晶郦城 西湖区次新房 大品牌开发商 小区品质高,西湖-良渚,龙湖水晶郦城  | 3室1厅 | 89.19平米 | 南 | 毛坯,低楼层(共34层)2018年建板楼  -  良渚,1人关注 / 共8次带看 / 1个月以前发布,270万,单价30273元/平米,
天阳棕榈湾二期 2室2厅 220万,西湖-良渚,天阳棕榈湾二期  | 2室2厅 | 91.8平米 | 南 | 其他 | 有电梯,中楼层(共18层)2004年建板楼  -  良渚,18人关注 / 共0次带看 / 5个月以前发布,220万,单价23966元/平米,
白鹭郡东，精装修两房，玉鸟流苏*，大阳台，诚售,西湖-良渚,良渚文化村白鹭郡东  | 2室2厅 | 87.48平米 | 南 北 | 其他 | 无电梯,中楼层(共5层)2008年建板楼  -  良渚,6人关注 / 共0次带看 / 3个月以前发布,295万,单价33722元/平米,
天阳棕榈湾，大两房 ，南北通，房东诚心出售！,西湖-良渚,天阳棕榈湾二期  | 2室1厅 | 78平米 | 南 | 精装 | 无电梯,中楼层(共5层)2004年建板楼  -  良渚,3人关注 / 共0次带看 / 3个月以前发布,230万,单价29488元/平米,
良渚文化村精装修的保养相当不错的房子房主自荐,西湖-良渚,良渚文化村白鹭郡东  | 2室2厅 | 87平米 | 南 北 | 精装 | 无电梯,中楼层(共5层)2008年建板楼  -  良渚,3人关注 / 共0次带看 / 2个月以前发布,300万,单价34483元/平米,
探梅里 精装电梯房 三开间朝南 满两年 车位15万另算,西湖-良渚,良渚文化村探梅里B  | 2室2厅 | 81.66平米 | 南 北 | 精装 | 有电梯,中楼层(共6层)2013年建板楼  -  良渚,2人关注 / 共0次带看 / 2个月以前发布,257万,单价31472元/平米,
都市阳光和苑，精装修，户型方正通透,西湖-良渚,都市阳光和苑  | 2室2厅 | 62平米 | 南 北 | 精装,低楼层(共28层)板楼  -  良渚,4人关注 / 共1次带看 / 2个月以前发布,210万,单价33871元/平米,
良渚文化村白鹭郡东  大两房 房东诚心出售,西湖-良渚,良渚文化村白鹭郡东  | 2室2厅 | 103.12平米 | 南 北 | 其他 | 无电梯,低楼层(共5层)2008年建板楼  -  良渚,1人关注 / 共1次带看 / 1个月以前发布,325万,单价31517元/平米,
满5年 户型正 2房1厨1卫精装修 楼层好 环境佳,西湖-良渚,九衡公寓  | 2室2厅 | 69.03平米 | 南 | 精装 | 有电梯,高楼层(共10层)2013年建板楼  -  良渚,4人关注 / 共0次带看 / 1个月以前发布,220万,单价31871元/平米,
白鹭郡南 背靠公园  精装两房 拎包入住 诚心出售,西湖-良渚,良渚文化村白鹭郡南  | 2室2厅 | 87.65平米 | 南 北 | 精装 | 无电梯,中楼层(共4层)2010年建板楼  -  良渚,4人关注 / 共0次带看 / 1个月以前发布,255万,单价29093元/平米,
墩莳家园房东自住装修两房朝南次卧阳台看房方便,西湖-良渚,墩莳家园  | 2室1厅 | 62.71平米 | 南 | 精装 | 有电梯,高楼层(共27层)2012年建板楼  -  良渚,3人关注 / 共0次带看 / 15天以前发布,215万,单价34285元/平米,
客厅朝南带阳台 主卧朝南带飘窗 自住装修 可拎包入住,西湖-良渚,都市阳光和苑  | 2室2厅 | 62.33平米 | 南 | 精装 | 有电梯,中楼层(共29层)板楼  -  良渚,7人关注 / 共0次带看 / 11天以前发布,188万,单价30163元/平米,
西湖区高品质新小区，楼层好，视野开阔 ，南北通透房主自荐,西湖-良渚,龙湖水晶郦城  | 4室2厅 | 120平米 | 南 北 | 精装 | 有电梯,低楼层(共33层)2018年建板楼  -  良渚,13人关注 / 共8次带看 / 1个月以前发布,430万,单价35834元/平米,
满2年.万科七贤郡 中间楼层 3房 采光好 2房朝南,西湖-良渚,良渚文化村七贤郡  | 3室2厅 | 86.92平米 | 南 北 | 精装 | 有电梯,中楼层(共9层)2014年建板塔结合  -  良渚,28人关注 / 共12次带看 / 1个月以前发布,218万,单价25081元/平米,
天阳棕榈湾 带车位270万，房东诚心卖！,西湖-良渚,天阳棕榈湾二期  | 3室2厅 | 107平米 | 南 | 其他 | 无电梯,高楼层(共5层)2004年建板楼  -  良渚,1人关注 / 共0次带看 / 7个月以前发布,260万,单价24300元/平米,
产权满二年，两房朝南，中间楼层，视野开阔，采光充足,西湖-良渚,望城  | 3室2厅 | 89.41平米 | 南 | 其他,低楼层(共9层)板楼  -  良渚,5人关注 / 共9次带看 / 6个月以前发布,240万,单价26843元/平米,
良渚新城    昆仑华府 4房2卫  东边套 河景房  带车位,西湖-良渚,昆仑华府  | 4室2厅 | 119.6平米 | 南 北 | 毛坯,低楼层(共18层)2017年建板楼  -  良渚,9人关注 / 共0次带看 / 5个月以前发布,300万,单价25084元/平米,
良渚新城89方三房两卫有60方储藏室,西湖-良渚,昆仑华府  | 3室2厅 | 89.19平米 | 南 | 其他,低楼层(共18层)2017年建塔楼  -  良渚,16人关注 / 共0次带看 / 5个月以前发布,255万,单价28591元/平米,
昆仑华府 东边套 纯毛坯房 户型正气,西湖-良渚,昆仑华府  | 3室2厅 | 118.77平米 | 东 | 毛坯,低楼层(共18层)2017年建板楼  -  良渚,4人关注 / 共0次带看 / 5个月以前发布,308万,单价25933元/平米,
户型好 毛坯房 楼层好 看房方便 交通便利,西湖-良渚,昆仑华府  | 3室2厅 | 89平米 | 南 北 | 其他 | 有电梯,低楼层(共18层)2017年建塔楼  -  良渚,3人关注 / 共0次带看 / 4个月以前发布,240万,单价26967元/平米,
昆仑华府，方正户型，采光好，三房两卫,西湖-良渚,昆仑华府  | 3室2厅 | 89平米 | 南 | 其他,高楼层(共18层)2017年建塔楼  -  良渚,6人关注 / 共12次带看 / 4个月以前发布,210万,单价23596元/平米,
昆仑华府，东边套，大三房，三房两卫， 婚房之选,西湖-良渚,昆仑华府  | 3室2厅 | 106平米 | 南 | 其他,高楼层(共18层)2017年建板楼  -  良渚,4人关注 / 共1次带看 / 4个月以前发布,290万,单价27359元/平米,
四房*明户型，刚装修好，从未住过,西湖-良渚,昆仑华府  | 4室2厅 | 120平米 | 南 | 精装,低楼层(共18层)2017年建板楼  -  良渚,7人关注 / 共0次带看 / 4个月以前发布,350万,单价29167元/平米,
石榴派，大4房，户型方正，业主诚心出售,西湖-良渚,石榴派  | 4室2厅 | 146平米 | 南 | 其他 | 有电梯,低楼层(共10层)2012年建塔楼  -  良渚,1人关注 / 共0次带看 / 3个月以前发布,360万,单价24658元/平米,
天阳棕榈湾金水岸 2室2厅 交通方便 诚心出售,西湖-良渚,天阳棕榈湾金水岸  | 2室2厅 | 89.5平米 | 南 | 其他 | 有电梯,中楼层(共19层)2008年建板塔结合  -  良渚,22人关注 / 共1次带看 / 3个月以前发布,210万,单价23464元/平米,
昆仑华府  纯毛坯   89方  三房两卫  房东诚心出售,西湖-良渚,昆仑华府  | 3室2厅 | 89.36平米 | 南 北 | 毛坯,低楼层(共18层)2017年建塔楼  -  良渚,6人关注 / 共1次带看 / 1个月以前发布,240万,单价26858元/平米,
万科精装  万科物业   楼层好  低总价,西湖-良渚,良渚文化村七贤郡  | 2室2厅 | 73平米 | 南 | 精装 | 有电梯,中楼层(共6层)2014年建板塔结合  -  良渚,16人关注 / 共1次带看 / 30天以前发布,185万,单价25343元/平米,
都市阳光嘉苑 2室1厅 185万,西湖-良渚,都市阳光嘉苑  | 2室1厅 | 62平米 | 南 | 其他 | 有电梯,高楼层(共18层)2010年建板楼  -  良渚,3人关注 / 共1次带看 / 23天以前发布,185万,单价29839元/平米,
奥克斯缔逸城 精装40多万带地暖 ，拎包入住,西湖-良渚,奥克斯缔逸城  | 3室2厅 | 89平米 | 南 | 精装 | 有电梯,中楼层(共31层)2017年建塔楼  -  良渚,50人关注 / 共1次带看 / 9个月以前发布,296万,单价33259元/平米,
都市阳光乐苑两房，两房纯毛坯任性装修,西湖-良渚,都市阳光乐苑  | 2室2厅 | 61.97平米 | 南 | 毛坯,中楼层(共28层)板楼  -  良渚,11人关注 / 共1次带看 / 4个月以前发布,190万,单价30660元/平米,
探梅里 精装房 适合刚需性客户 带车位,西湖-良渚,良渚文化村探梅里B  | 1室1厅 | 72平米 | 南 | 精装 | 有电梯,低楼层(共6层)2013年建板楼  -  良渚,15人关注 / 共0次带看 / 4个月以前发布,210万,单价29167元/平米,
精装修保养好，带地暖，采光视野,西湖-良渚,都市阳光嘉苑  | 2室2厅 | 63平米 | 南 | 精装 | 有电梯,高楼层(共18层)2010年建板楼  -  良渚,8人关注 / 共7次带看 / 1个月以前发布,190万,单价30159元/平米,
春漫里酒店公寓 房东诚心出售 万科精装修,西湖-良渚,良渚文化村春漫里  | 1室0厅 | 68.33平米 | 北 | 精装 | 有电梯,中楼层(共5层)2012年建板塔结合  -  良渚,32人关注 / 共1次带看 / 2个月以前发布,110万,单价16099元/平米,
柳映坊三期，精装，大两房，西边套，视野好，诚心出售,西湖-良渚,良渚文化村柳映坊三期  | 2室2厅 | 89.38平米 | 南 北 | 精装 | 有电梯,高楼层(共5层)2014年建板楼  -  良渚,2人关注 / 共0次带看 / 10天以前发布,272万,单价30432元/平米,
九衡公寓  西边套  欧式建筑    采光充足  看房方便,西湖-良渚,九衡公寓  | 3室2厅 | 101.35平米 | 南 | 毛坯 | 有电梯,中楼层(共11层)2013年建板楼  -  良渚,26人关注 / 共1次带看 / 4个月以前发布,235万,单价23187元/平米,
都市阳光嘉苑2室1厅  180万,西湖-良渚,都市阳光嘉苑  | 2室1厅 | 63.28平米 | 南 北 | 毛坯 | 有电梯,低楼层(共18层)2010年建板楼  -  良渚,13人关注 / 共6次带看 / 3个月以前发布,180万,单价28446元/平米,
都市阳光华苑 2室1厅 195万,西湖-良渚,都市阳光华苑  | 2室1厅 | 61.98平米 | 南 | 其他 | 有电梯,中楼层(共27层)板塔结合  -  良渚,4人关注 / 共2次带看 / 2个月以前发布,195万,单价31462元/平米,
小区环境好 房子户型好 两房朝南采光好,西湖-良渚,墩莳家园  | 2室2厅 | 62平米 | 南 | 其他 | 有电梯,中楼层(共27层)2012年建板楼  -  良渚,19人关注 / 共5次带看 / 2个月以前发布,170万,单价27420元/平米,
西湖区都市阳光两房户型不错看房方便,西湖-良渚,都市阳光和苑  | 2室1厅 | 61.8平米 | 南 | 毛坯,低楼层(共28层)板楼  -  良渚,2人关注 / 共3次带看 / 2个月以前发布,185万,单价29936元/平米,
郡西澜山 精装修 业主加装定制衣柜和墙纸 品牌家具,西湖-良渚,万科郡西澜山  | 2室2厅 | 86.91平米 | 南 | 精装,中楼层(共6层)2017年建板楼  -  良渚,1人关注 / 共0次带看 / 21天以前发布,300万,单价34519元/平米,
